国家,国家代码,供应商数,平均成本(USD/条),最低成本,最高成本
"尼泊尔(区号误填,应为NP)",977,1,0.024,0.024,0.024
"乌兹别克斯坦(区号误填,应为UZ)",998,1,0.0355,0.0355,0.0355
阿联酋,AE,2,0.0648,0.0648,0.0648
阿根廷,AR,4,0.029,0.028,0.03
澳大利亚,AU,11,0.03065,0.023,0.041
孟加拉,BD,21,0.00708,0.0055,0.014
比利时,BE,4,0.02725,0.0035,0.051
贝宁,BJ,1,0.0241,0.0241,0.0241
玻利维亚,BO,4,0.016,0.016,0.016
巴西,BR,21,0.00948,0.0077,0.0114
智利,CL,7,0.00527,0.0038,0.0088
喀麦隆,CM,5,0.01508,0.011,0.0185
哥伦比亚,CO,9,0.00227,0.0018,0.0028
德国,DE,5,0.03936,0.023,0.065
丹麦,DK,2,0.0544,0.0544,0.0544
厄瓜多尔,EC,2,0.02875,0.0253,0.0322
埃及,EG,5,0.02496,0.018,0.045
西班牙,ES,5,0.0199,0.0035,0.0315
埃塞俄比亚,ET,2,0.0277,0.0277,0.0277
芬兰,FI,4,0.0382,0.029,0.0474
法国,FR,5,0.02772,0.0273,0.028
英国,GB,6,0.04553,0.031,0.1
加纳,GH,3,0.0076,0.0053,0.009
危地马拉,GT,1,0.019,0.019,0.019
印度尼西亚,ID,11,0.00727,0.0045,0.012
爱尔兰,IE,2,0.0325,0.0325,0.0325
以色列,IL,4,0.0136,0.0088,0.0181
印度,IN,21,0.0072,0.0017,0.0455
意大利,IT,2,0.04505,0.0415,0.0486
约旦,JO,4,0.05195,0.0389,0.065
日本,JP,11,0.03772,0.0295,0.057
肯尼亚,KE,4,0.00535,0.0035,0.007
柬埔寨,KH,5,0.02552,0.018,0.0333
韩国,KR,9,0.01021,0.0073,0.011
科威特,KW,4,0.04095,0.029,0.0546
哈萨克斯坦,KZ,2,0.08393,0.0781,0.08975
黎巴嫩,LB,1,0.2837,0.2837,0.2837
斯里兰卡,LK,5,0.00936,0.007,0.014
摩洛哥,MA,2,0.014,0.014,0.014
缅甸,MM,2,0.033,0.033,0.033
墨西哥,MX,18,0.00329,0.0019,0.0085
马来西亚,MY,8,0.03208,0.023,0.04
尼日利亚,NG,9,0.01162,0.0039,0.0561
荷兰,NL,4,0.026,0.0094,0.0426
尼泊尔,NP,1,0.0246,0.0246,0.0246
新西兰,NZ,1,0.0546,0.0546,0.0546
巴拿马,PA,1,0.026,0.026,0.026
秘鲁,PE,10,0.01017,0.0047,0.018
菲律宾,PH,18,0.00502,0.001,0.0062
巴基斯坦,PK,11,0.00818,0.0047,0.023
波兰,PL,2,0.0251,0.0251,0.0251
葡萄牙,PT,5,0.02436,0.022,0.0285
卡塔尔,QA,4,0.03305,0.022,0.0441
罗马尼亚,RO,2,0.0325,0.0325,0.0325
俄罗斯,RU,1,0.1014,0.1014,0.1014
新加坡,SG,1,0.0287,0.0287,0.0287
塞内加尔,SN,2,0.023,0.023,0.023
泰国,TH,26,0.00479,0.001,0.0078
土耳其,TR,5,0.0088,0.0055,0.011
坦桑尼亚,TZ,5,0.01292,0.0118,0.0168
乌克兰,UA,1,0.0378,0.0378,0.0378
乌干达,UG,2,0.01165,0.0098,0.0135
美国,US,8,0.03151,0.0076,0.08
委内瑞拉,VE,2,0.0124,0.0124,0.0124
越南,VN,10,0.02371,0.018,0.029
南非,ZA,10,0.01152,0.0084,0.013
赞比亚,ZM,4,0.01375,0.0032,0.02
